2026-08-14 18:35:28 | ERROR   | llm_client           | LLM call failed: 400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': 'API key not valid. Please pass a valid API key.', 'status': 'INVALID_ARGUMENT', 'details': [{'@type': 'type.googleapis.com/google.rpc.ErrorInfo', 'reason': 'API_KEY_INVALID', 'domain': 'googleapis.com', 'metadata': {'service': 'generativelanguage.googleapis.com'}}, {'@type': 'type.googleapis.com/google.rpc.LocalizedMessage', 'locale': 'en-US', 'message': 'API key not valid. Please pass a valid API key.'}]}}
2026-08-14 18:35:28 | INFO    | advisory_agent       | advisory_agent completed successfully.
2026-08-14 18:35:28 | INFO    | decision_agent       | Starting decision_agent...
2026-08-14 18:35:28 | INFO    | decision_agent       | decision_agent completed successfully.
2026-08-14 18:35:28 | INFO    | orchestrator         | Pipeline complete.
2026-08-15 20:17:53 | INFO    | orchestrator         | Pipeline starting with 5 agents.
2026-08-15 20:17:53 | INFO    | weather_agent        | Starting weather_agent...
2026-08-15 20:17:55 | INFO    | weather_agent        | weather_agent completed successfully.
2026-08-15 20:17:55 | INFO    | soil_agent           | Starting soil_agent...
2026-08-15 20:17:55 | INFO    | soil_agent           | soil_agent completed successfully.
2026-08-15 20:17:55 | INFO    | disease_agent        | Starting disease_agent...
2026-08-15 20:17:55 | INFO    | disease_agent        | disease_agent completed successfully.
2026-08-15 20:17:55 | INFO    | advisory_agent       | Starting advisory_agent...
2026-08-15 20:17:55 | INFO    | advisory_agent       | advisory_agent completed successfully.
2026-08-15 20:17:55 | INFO    | decision_agent       | Starting decision_agent...
2026-08-15 20:17:55 | INFO    | decision_agent       | decision_agent completed successfully.
2026-08-15 20:17:55 | INFO    | orchestrator         | Pipeline complete.
2026-08-15 20:22:10 | INFO    | train_disease_model  | Training on device: cpu
2026-08-15 20:23:17 | INFO    | orchestrator         | Pipeline starting with 5 agents.
2026-08-15 20:23:17 | INFO    | weather_agent        | Starting weather_agent...
2026-08-15 20:23:18 | INFO    | weather_agent        | weather_agent completed successfully.
2026-08-15 20:23:18 | INFO    | soil_agent           | Starting soil_agent...
2026-08-15 20:23:18 | INFO    | soil_agent           | soil_agent completed successfully.
2026-08-15 20:23:18 | INFO    | disease_agent        | Starting disease_agent...
2026-08-15 20:23:18 | INFO    | disease_agent        | disease_agent completed successfully.
2026-08-15 20:23:18 | INFO    | advisory_agent       | Starting advisory_agent...
2026-08-15 20:23:18 | INFO    | advisory_agent       | advisory_agent completed successfully.
2026-08-15 20:23:18 | INFO    | decision_agent       | Starting decision_agent...
2026-08-15 20:23:18 | INFO    | decision_agent       | decision_agent completed successfully.
2026-08-15 20:23:18 | INFO    | orchestrator         | Pipeline complete.
